Function,#cycles,n,floats/cycle
scalar_mm, 300.3753,   32, 3.4091
onenorm, 412.6179,   32, 4.9634
eval3_4, 14414.2442,   32, 5.8253
eval3_5, 31547.9228,   32, 7.0760
scalar_mm, 2579.6859,   64, 1.5878
onenorm, 1407.8803,   64, 5.8187
eval3_4, 92170.6228,   64, 6.4881
eval3_5, 226079.4322,   64, 7.4282
scalar_mm, 14489.7315,  128, 1.1307
onenorm, 5568.0446,  128, 5.8850
eval3_4, 914335.9192,  128, 4.9098
eval3_5, 2156461.7160,  128, 6.0325
scalar_mm, 82964.8307,  256, 0.7899
onenorm, 35452.0330,  256, 3.6972
eval3_4, 10122611.0032,  256, 3.4313
eval3_5, 27581486.1720,  256, 3.7114
scalar_mm, 331645.8440,  512, 0.7904
onenorm, 159780.0644,  512, 3.2813
eval3_4, 68535786.8696,  512, 3.9856
eval3_5, 194012895.4392,  512, 4.1859
scalar_mm, 802251.7020,  768, 0.7352
onenorm, 340368.1539,  768, 3.4658
eval3_4, 224423375.0096,  768, 4.0842
eval3_5, 642730693.0948,  768, 4.2526
